,ZCTA5CE10,GEOID10,INTPTLAT10,INTPTLON10
0,04757,04757,+46.6676144,-068.1686355
1,04758,04758,+46.5592719,-067.8532254
2,04760,04760,+46.3393412,-067.9548745
3,04975,04975,+44.6253540,-069.5883338
4,04976,04976,+44.7892800,-069.6676898
5,04426,04426,+45.2130594,-069.1891343
6,04427,04427,+44.9805381,-069.0108794
7,04428,04428,+44.8057808,-068.5539827
8,04429,04429,+44.7206120,-068.6162302
9,04430,04430,+45.6368411,-068.5751970
10,04431,04431,+44.5575812,-068.6688160
11,04434,04434,+44.7856323,-069.1328950
12,04435,04435,+44.9632183,-069.1249939
13,04438,04438,+44.5989532,-068.9283372
14,04441,04441,+45.7024164,-069.6232335
15,04442,04442,+45.4978270,-069.7272741
16,04443,04443,+45.2280472,-069.3535249
17,04444,04444,+44.7289844,-068.9499610
18,04448,04448,+45.2961956,-068.7110603
19,04761,04761,+46.1172540,-067.9752835
20,04762,04762,+46.9582479,-068.1247309
21,04763,04763,+46.0743868,-068.1140661
22,04764,04764,+46.3989288,-068.5853232
23,04765,04765,+46.1587856,-068.5911192
24,04766,04766,+46.8924629,-068.2157801
25,04768,04768,+46.8631565,-068.8917242
26,04769,04769,+46.6884839,-067.9930162
27,04978,04978,+44.6420117,-069.8001691
28,04979,04979,+44.9395414,-069.8075358
29,04449,04449,+44.9926393,-068.8884851
30,04450,04450,+44.9160484,-068.9279905
31,04451,04451,+45.6070104,-068.2221729
32,04453,04453,+45.1622503,-068.7605310
33,04454,04454,+45.5521169,-067.5610589
34,04455,04455,+45.2994944,-068.2597556
35,04456,04456,+44.8768694,-068.9967128
36,04457,04457,+45.4134293,-068.4798671
37,04459,04459,+45.5887348,-068.3399852
38,04460,04460,+45.7113948,-068.5399631
39,04461,04461,+44.9547869,-068.5824377
40,04462,04462,+45.9727694,-069.0124449
41,04463,04463,+45.2823296,-068.9025402
42,04464,04464,+45.4170399,-069.2763652
43,04772,04772,+47.2300836,-068.3114491
44,04773,04773,+47.2675092,-068.2231397
45,04774,04774,+47.0770395,-069.1545002
46,04776,04776,+45.8716953,-068.3247530
47,04777,04777,+45.8425207,-068.5010764
48,04779,04779,+47.1144572,-068.3314721
49,04780,04780,+46.2392445,-068.2852814
50,04781,04781,+47.1501990,-068.6134946
51,04783,04783,+47.0401236,-068.1750497
52,04785,04785,+47.1119505,-067.9943500
53,04981,04981,+44.5141216,-068.8390475
54,04982,04982,+45.0979838,-070.4305754
55,04983,04983,+44.9799812,-070.3684007
56,04984,04984,+44.6986195,-070.2711515
57,04985,04985,+45.3694410,-069.9310946
58,04986,04986,+44.5494603,-069.2112917
59,04987,04987,+44.6741485,-069.2518443
60,04468,04468,+45.0234312,-068.7334189
61,04469,04469,+44.9010588,-068.6683165
62,04786,04786,+46.7949211,-068.1920506
63,04988,04988,+44.5701476,-069.3624413
64,04989,04989,+44.4279799,-069.6495078
65,04992,04992,+44.6636565,-070.1626768
66,04471,04471,+45.9082902,-067.8614281
67,04472,04472,+44.5760955,-068.6701220
68,04473,04473,+44.8816788,-068.7386486
69,04474,04474,+44.7069554,-068.7703427
70,04475,04475,+45.1835874,-068.5896141
71,04476,04476,+44.4827015,-068.7060011
72,04478,04478,+45.8652296,-069.8156754
73,04479,04479,+45.1411800,-069.3217918
74,04481,04481,+45.2459788,-069.0927751
75,04485,04485,+45.3584609,-069.6243611
76,04487,04487,+45.3877374,-068.1044707
77,04488,04488,+44.8754327,-069.1046983
78,04489,04489,+44.9103844,-068.6901726
79,04490,04490,+45.4366364,-067.8676233
80,04491,04491,+45.5726933,-067.4733558
81,04492,04492,+45.3670451,-067.6813220
82,04493,04493,+45.2368243,-068.5245758
83,04495,04495,+45.4541190,-068.3338039
84,04496,04496,+44.6503837,-068.9088904
85,04497,04497,+45.7546098,-068.0609441
86,04530,04530,+43.8882397,-069.8267017
87,04535,04535,+44.0984712,-069.6291749
88,04537,04537,+43.8755159,-069.6183935
89,04538,04538,+43.8515051,-069.6276114
90,04787,04787,+46.5346928,-067.9728245
91,04841,04841,+44.1335362,-069.1338222
92,04843,04843,+44.2384055,-069.0640391
93,04847,04847,+44.2408179,-069.1892667
94,04848,04848,+44.2988796,-068.9152501
95,04849,04849,+44.3161061,-069.0259980
96,04539,04539,+43.9749673,-069.5007828
